network_packet_size,network_packet_rate,network_protocol,hash_mismatch_rate,smart_contract_violation,transaction_latency_drift,device_activity_variance,vital_stats_stability,response_time_deviation,threat_label,trigger_reason
633,184.65,1,0.065,1,0.206,0.223,0.587,0.02,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
661,50.48,1,0.165,0,0.447,0.717,0.088,0.132,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1001,288.41,1,0.103,1,0.211,0.978,0.689,0.047,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
722,461.84,1,0.041,1,0.18,0.278,0.662,0.252,1,"network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
1326,192.09,0,0.143,0,0.477,0.404,0.56,0.252,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
559,401.88,0,0.013,1,0.031,0.04,0.115,0.026,1,"network_packet_rate, smart_contract_violation, vital_stats_stability"
201,74.3,0,0.176,0,0.265,0.391,0.425,0.078,1,"hash_mismatch_rate, transaction_latency_drift"
1172,394.44,1,0.121,0,0.387,0.908,0.244,0.177,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
553,185.11,0,0.082,0,0.291,0.823,0.878,0.053,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
979,466.54,0,0.029,0,0.472,0.992,0.796,0.113,1,"network_packet_rate, transaction_latency_drift, device_activity_variance"
1064,191.99,1,0.003,1,0.058,0.685,0.618,0.278,1,"network_protocol, smart_contract_violation, device_activity_variance, response_time_deviation"
1219,216.19,0,0.088,0,0.001,0.282,0.121,0.144,1,"network_packet_size, hash_mismatch_rate, vital_stats_stability"
392,451.9,1,0.187,1,0.402,0.091,0.117,0.092,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
364,498.81,0,0.105,0,0.075,0.01,0.534,0.393,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
1333,31.24,0,0.014,0,0.419,0.189,0.225,0.378,1,"network_packet_size, transaction_latency_drift, vital_stats_stability, response_time_deviation"
744,489.77,1,0.121,1,0.47,0.425,0.947,0.449,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
311,407.96,0,0.148,0,0.129,0.588,0.893,0.065,1,"network_packet_rate, hash_mismatch_rate"
942,305.9,0,0.076,1,0.007,0.343,0.185,0.03,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
814,210.38,0,0.028,1,0.227,0.156,0.329,0.304,1,"smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1247,392.5,1,0.147,0,0.242,0.975,0.176,0.062,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1425,374.41,1,0.045,0,0.212,0.959,0.386,0.15,1,"network_packet_size, network_packet_rate, network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability"
343,98.14,0,0.159,1,0.171,0.847,0.16,0.061,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
792,484.73,1,0.064,0,0.499,0.992,0.946,0.232,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1253,101.68,0,0.173,1,0.056,0.472,0.03,0.293,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
288,450.13,1,0.154,1,0.289,0.659,0.638,0.05,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
747,15.66,1,0.194,0,0.336,0.773,0.724,0.09,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
478,207.18,0,0.189,0,0.34,0.739,0.556,0.47,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
877,133.01,0,0.133,1,0.181,0.036,0.087,0.329,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
896,355.66,0,0.113,0,0.068,0.464,0.026,0.106,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability"
470,467.66,0,0.17,1,0.012,0.878,0.602,0.157,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
551,28.82,1,0.061,0,0.454,0.6,0.92,0.309,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1353,35.93,1,0.081,1,0.081,0.45,0.498,0.174,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation"
633,413.48,1,0.182,1,0.018,0.532,0.636,0.16,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
1449,350.72,0,0.138,0,0.072,0.676,0.356,0.431,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
1398,410.52,1,0.054,1,0.493,0.914,0.517,0.211,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1438,213.64,1,0.14,1,0.218,0.837,0.788,0.173,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
395,257.95,0,0.177,1,0.121,0.56,0.695,0.249,1,"hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1043,138.09,1,0.029,1,0.263,0.366,0.229,0.005,1,"network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
650,154.52,0,0.135,1,0.361,0.965,0.926,0.311,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
683,158.21,0,0.072,1,0.048,0.787,0.291,0.019,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
349,204.1,1,0.039,0,0.172,0.755,0.08,0.019,1,"network_protocol, device_activity_variance, vital_stats_stability"
1330,357.43,0,0.128,0,0.119,0.582,0.157,0.338,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
676,68.8,0,0.118,1,0.392,0.026,0.511,0.245,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
875,348.81,0,0.081,0,0.086,0.561,0.332,0.24,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1478,468.92,1,0.121,1,0.378,0.315,0.439,0.478,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
280,396.79,0,0.098,0,0.188,0.463,0.473,0.28,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
656,191.29,0,0.01,0,0.208,0.099,0.407,0.391,1,"transaction_latency_drift, response_time_deviation"
1219,283.27,1,0.006,0,0.083,0.562,0.09,0.011,1,"network_packet_size, network_protocol, vital_stats_stability"
654,162.57,1,0.006,1,0.053,0.777,0.302,0.185,1,"network_protocol, smart_contract_violation, device_activity_variance, vital_stats_stability"
735,372.09,1,0.117,1,0.251,0.245,0.734,0.373,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1329,493.51,0,0.078,0,0.235,0.994,0.882,0.002,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
771,67.98,1,0.181,0,0.435,0.62,0.697,0.134,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
944,48.2,1,0.118,0,0.421,0.147,0.142,0.022,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
279,214.82,1,0.192,1,0.279,0.083,0.246,0.288,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1173,99.5,1,0.082,1,0.413,0.631,0.895,0.096,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
452,499.82,1,0.019,1,0.451,0.527,0.617,0.133,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift"
1331,382.13,1,0.188,1,0.118,0.795,0.114,0.295,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
1299,169.69,1,0.006,0,0.376,0.445,0.048,0.165,1,"network_packet_size, network_protocol, transaction_latency_drift, vital_stats_stability"
762,396.13,1,0.006,1,0.08,0.364,0.718,0.232,1,"network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
1263,239.88,1,0.197,1,0.198,0.562,0.268,0.315,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
926,130.52,1,0.11,1,0.165,0.585,0.08,0.207,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1209,121.59,0,0.189,1,0.265,0.936,0.595,0.142,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
990,452.43,1,0.082,0,0.416,0.88,0.66,0.229,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1432,172.24,1,0.074,1,0.066,0.935,0.168,0.123,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
1163,360.41,0,0.055,1,0.1,0.776,0.658,0.289,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
509,111.15,1,0.091,0,0.37,0.125,0.43,0.226,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1499,153.43,0,0.164,1,0.049,0.809,0.646,0.088,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
287,24.39,0,0.196,1,0.388,0.046,0.973,0.135,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
367,89.65,1,0.086,1,0.435,0.234,0.049,0.073,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1094,170.52,0,0.03,0,0.048,0.617,0.941,0.219,1,"device_activity_variance, response_time_deviation"
1214,243.1,0,0.131,0,0.399,0.447,0.609,0.267,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
408,189.32,0,0.086,1,0.294,0.988,0.334,0.245,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1297,269.74,0,0.173,1,0.279,0.723,0.084,0.383,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
503,44.73,0,0.032,1,0.008,0.361,0.119,0.049,1,"smart_contract_violation, vital_stats_stability"
1085,493.66,1,0.094,0,0.32,0.17,0.287,0.265,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
846,95.84,1,0.147,0,0.175,0.945,0.613,0.268,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
1128,418.56,0,0.077,0,0.308,0.602,0.311,0.443,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1117,158.53,0,0.1,0,0.21,0.39,0.211,0.359,1,"hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1365,299.8,0,0.108,1,0.031,0.747,0.061,0.071,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
591,184.44,1,0.123,0,0.121,0.795,0.012,0.243,1,"network_protocol, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
1075,169.78,0,0.075,0,0.332,0.889,0.767,0.35,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1159,474.86,1,0.07,0,0.45,0.21,0.41,0.041,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift"
600,376.98,1,0.092,1,0.089,0.075,0.362,0.138,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
508,108.89,1,0.166,0,0.158,0.434,0.409,0.309,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
226,385.57,1,0.18,0,0.149,0.202,0.656,0.194,1,"network_packet_rate, network_protocol, hash_mismatch_rate"
1129,433.85,0,0.173,1,0.048,0.284,0.036,0.337,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
676,194.97,0,0.162,0,0.263,0.842,0.048,0.473,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
772,406.46,0,0.134,1,0.377,0.516,0.16,0.435,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
749,187.82,1,0.031,1,0.059,0.497,0.908,0.486,1,"network_protocol, smart_contract_violation, response_time_deviation"
806,205.42,1,0.083,0,0.359,0.402,0.724,0.227,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1126,242.31,0,0.056,0,0.418,0.586,0.809,0.182,1,"hash_mismatch_rate, transaction_latency_drift"
653,451.79,1,0.065,1,0.422,0.117,0.012,0.092,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
731,147.7,1,0.174,1,0.454,0.977,0.508,0.295,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
229,205.17,0,0.115,0,0.271,0.611,0.383,0.076,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
845,107.16,1,0.144,1,0.482,0.479,0.772,0.264,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1335,359.14,0,0.122,0,0.398,0.548,0.148,0.324,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1226,487.59,0,0.121,1,0.287,0.488,0.03,0.227,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1398,232.17,1,0.088,0,0.212,0.452,0.641,0.255,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1110,440.36,0,0.025,1,0.148,0.296,0.297,0.491,1,"network_packet_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1416,479.51,1,0.189,0,0.215,0.035,0.859,0.274,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
315,465.9,0,0.113,0,0.147,0.595,0.827,0.167,1,"network_packet_rate, hash_mismatch_rate"
515,400.47,0,0.008,0,0.084,0.37,0.699,0.238,1,"network_packet_rate, response_time_deviation"
245,341.46,0,0.095,1,0.014,0.927,0.064,0.466,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
1277,421.74,0,0.046,0,0.167,0.963,0.905,0.154,1,"network_packet_size, network_packet_rate, device_activity_variance"
1110,300.22,0,0.198,1,0.278,0.059,0.887,0.377,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
535,30.46,0,0.09,0,0.145,0.913,0.924,0.422,1,"hash_mismatch_rate, device_activity_variance, response_time_deviation"
921,165.17,1,0.194,0,0.176,0.353,0.39,0.179,1,"network_protocol, hash_mismatch_rate, vital_stats_stability"
1036,461.91,1,0.186,1,0.272,0.089,0.237,0.185,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
692,89.38,1,0.012,0,0.328,0.729,0.088,0.418,1,"network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
965,328.8,0,0.128,0,0.344,0.139,0.253,0.405,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1319,47.46,0,0.162,0,0.45,0.892,0.702,0.076,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1113,24.44,1,0.117,0,0.243,0.374,0.493,0.397,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1301,127.83,1,0.169,0,0.317,0.771,0.078,0.436,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
934,457.11,1,0.005,1,0.449,0.4,0.145,0.277,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1155,86.45,0,0.109,0,0.414,0.944,0.057,0.016,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1279,220.96,1,0.187,1,0.196,0.569,0.807,0.203,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
640,189.25,0,0.194,1,0.156,0.372,0.328,0.1,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
720,422.44,1,0.06,1,0.388,0.397,0.145,0.177,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1376,347.27,1,0.164,0,0.419,0.693,0.169,0.231,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
470,138.57,0,0.015,0,0.377,0.815,0.465,0.487,1,"transaction_latency_drift, device_activity_variance, response_time_deviation"
922,439.47,0,0.171,1,0.31,0.904,0.485,0.038,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1162,219.4,1,0.074,1,0.35,0.158,0.043,0.388,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1306,105.12,1,0.193,0,0.212,0.786,0.131,0.285,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1081,376.43,1,0.111,1,0.229,0.281,0.295,0.393,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1002,115.39,0,0.199,0,0.488,0.448,0.698,0.011,1,"hash_mismatch_rate, transaction_latency_drift"
456,38.04,1,0.121,0,0.433,0.421,0.866,0.41,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
487,123.79,1,0.108,1,0.043,0.432,0.953,0.068,1,"network_protocol, hash_mismatch_rate, smart_contract_violation"
585,414.65,1,0.089,0,0.299,0.675,0.024,0.42,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
377,465.77,0,0.144,0,0.223,0.933,0.282,0.395,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
437,359.1,1,0.005,1,0.212,0.32,0.698,0.443,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, response_time_deviation"
671,488.49,0,0.16,1,0.267,0.603,0.033,0.096,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
356,128.85,0,0.037,1,0.139,0.055,0.97,0.46,1,"smart_contract_violation, response_time_deviation"
655,35.03,1,0.16,1,0.445,0.693,0.966,0.132,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1296,311.33,0,0.164,0,0.498,0.519,0.985,0.102,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift"
284,5.22,1,0.056,1,0.334,0.363,0.794,0.151,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
794,29.65,1,0.169,1,0.255,0.226,0.783,0.102,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
1270,94.13,0,0.076,0,0.06,0.142,0.95,0.435,1,"network_packet_size, hash_mismatch_rate, response_time_deviation"
1173,294.06,1,0.13,1,0.301,0.663,0.845,0.001,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
963,239.93,0,0.159,0,0.378,0.561,0.465,0.135,1,"hash_mismatch_rate, transaction_latency_drift"
1429,194.24,1,0.11,0,0.373,0.967,0.368,0.2,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
982,335.57,1,0.168,1,0.328,0.563,0.779,0.399,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1073,404.83,0,0.121,1,0.466,0.881,0.108,0.426,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1090,231.97,0,0.164,0,0.106,0.316,0.401,0.22,1,"hash_mismatch_rate, response_time_deviation"
844,499.06,0,0.038,1,0.373,0.757,0.373,0.485,1,"network_packet_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
564,13.04,1,0.087,0,0.308,0.916,0.971,0.199,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
317,390.61,0,0.157,1,0.212,0.64,0.118,0.084,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1143,185.9,1,0.099,1,0.412,0.14,0.273,0.163,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
580,203.44,1,0.041,1,0.171,0.207,0.827,0.141,1,"network_protocol, smart_contract_violation"
739,156.06,1,0.107,0,0.297,0.874,0.975,0.253,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
534,155.16,0,0.102,0,0.305,0.102,0.695,0.49,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
647,392.95,1,0.167,0,0.411,0.217,0.632,0.149,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift"
1356,357.43,0,0.096,1,0.108,0.097,0.075,0.117,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1032,467.12,0,0.008,1,0.046,0.704,0.105,0.367,1,"network_packet_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
275,275.51,1,0.171,0,0.366,0.954,0.759,0.382,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1369,105.24,1,0.19,0,0.219,0.97,0.766,0.216,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
688,472.01,0,0.172,0,0.007,0.92,0.198,0.222,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
870,13.7,0,0.144,1,0.096,0.078,0.839,0.037,1,"hash_mismatch_rate, smart_contract_violation"
1379,182.62,1,0.169,0,0.33,0.626,0.985,0.497,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
740,261.46,1,0.014,0,0.373,0.19,0.254,0.061,1,"network_protocol, transaction_latency_drift, vital_stats_stability"
1289,341.47,0,0.054,0,0.113,0.344,0.38,0.341,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1496,375.48,1,0.076,0,0.276,0.196,0.978,0.422,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1354,297.57,1,0.006,1,0.45,0.102,0.158,0.256,1,"network_packet_size, network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
497,470.06,1,0.18,1,0.251,0.803,0.319,0.351,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1075,130.9,0,0.116,0,0.485,0.827,0.224,0.329,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1167,410.39,0,0.078,0,0.099,0.106,0.261,0.092,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability"
232,122.24,0,0.074,0,0.091,0.596,0.332,0.179,1,"hash_mismatch_rate, vital_stats_stability"
256,273.73,0,0.096,0,0.375,0.686,0.715,0.427,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
618,463.76,0,0.181,1,0.333,0.266,0.609,0.435,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
986,280.99,1,0.092,0,0.355,0.553,0.425,0.473,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1116,115.52,1,0.095,0,0.213,0.851,0.65,0.001,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1251,146.62,0,0.097,1,0.333,0.922,0.085,0.33,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
950,86.81,0,0.021,0,0.232,0.65,0.216,0.139,1,"transaction_latency_drift, device_activity_variance, vital_stats_stability"
388,408.54,0,0.049,1,0.102,0.413,0.768,0.458,1,"network_packet_rate, smart_contract_violation, response_time_deviation"
1424,488.93,1,0.047,0,0.101,0.365,0.408,0.071,1,"network_packet_size, network_packet_rate, network_protocol"
1212,218.22,0,0.043,1,0.415,0.75,0.342,0.301,1,"network_packet_size, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
786,228.38,0,0.011,0,0.263,0.405,0.457,0.302,1,"transaction_latency_drift, response_time_deviation"
415,78.44,0,0.05,0,0.436,0.543,0.131,0.438,1,"transaction_latency_drift, vital_stats_stability, response_time_deviation"
806,18.07,1,0.095,1,0.175,0.36,0.577,0.24,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
250,348.52,1,0.064,0,0.106,0.762,0.336,0.441,1,"network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
1363,176.79,1,0.108,0,0.07,0.583,0.583,0.098,1,"network_packet_size, network_protocol, hash_mismatch_rate"
1174,332.19,1,0.142,1,0.394,0.327,0.325,0.162,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1238,149.96,1,0.113,0,0.323,0.893,0.963,0.158,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
713,427.86,0,0.076,1,0.157,0.759,0.216,0.037,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
508,437.58,1,0.033,1,0.038,0.369,0.583,0.399,1,"network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
1045,455.9,0,0.158,1,0.286,0.937,0.831,0.344,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1013,356.29,1,0.046,0,0.409,0.285,0.935,0.255,1,"network_packet_rate, network_protocol, transaction_latency_drift, response_time_deviation"
584,204.83,1,0.186,1,0.428,0.3,0.743,0.343,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
